Domicile_code	AU2017_code	AU2017_name	Dom_average_NZDep2023	Dom_average_NZDep2023_score
64	503700	Parahaki	5	985
65	503800	Raumanga West	10	1185
66	503900	Port-Limeburners	4	959
109	504000	Sherwood Rise	8	1049
68	504100	Onerahi	9	1080
69	504300	Hikurangi	9	1088
70	504400	Te Kopuru	10	1185
71	504501	Kaipara Coastal	8	1060
72	504502	Maungaru	7	1026
73	504600	Dargaville	9	1112
110	504700	Maungaturoto	7	1008
75	504800	Ruawai	10	1172
76	504900	Kaiwaka	8	1038
111	505010	Rehia-Oneriri	7	1017
118	505021	Mangawhai	4	965
119	505022	Mangawhai Heads	5	973
79	505300	Wellsford	8	1050
80	505400	Leigh	5	975
81	505500	Warkworth	5	971
135	505601	Waimauku	1	906
136	505602	Huapai	1	905
137	505603	Riverhead Urban	1	902
138	505604	Kumeu East	4	967
139	505605	Kumeu West	4	967
83	505700	Waipareira West	3	950
113	505803	Waiwera	7	1011
114	505804	Hatfields Beach	3	948
115	505805	Orewa	4	955
140	505806	Silverdale Central	1	908
141	505807	Red Beach West	2	931
142	505808	Red Beach East	2	934
87	505902	Manly	3	950
120	505904	Army Bay	2	921
129	505906	Vipond	3	939
130	505907	Stanmore Bay West	3	946
131	505908	Stanmore Bay East	5	970
132	505909	Wade Heads	3	936
133	505910	Gulf Harbour	2	927
134	505911	Gulf Harbour Marina	4	963
143	506001	Weiti River	6	988
144	506002	Stillwater	1	910
145	506003	Silverdale South	3	944
146	506201	Silverdale North	1	913
147	506202	Orewa West	1	900
91	506300	Dairy Flat-Redvale	5	972
92	506400	Paremoremo West	2	923
94	506613	Tauhoa-Puhoi	4	965
95	506614	Tahekeroa	2	931
117	506616	Matheson Bay	2	928
96	506620	Kawau	4	964
97	506631	Snells Beach	4	960
148	506633	Algies Bay	5	969
149	506634	Mahurangi	1	906
200	506642	South Head	6	1005
150	506644	Parakai Rural	4	964
151	506645	Parakai Urban	8	1042
326	506646	Kaukapakapa Rural	2	931
327	506647	Kaukapakapa	1	898
328	506648	Helensville South	2	917
203	506652	Rewiti	3	950
204	506653	Riverhead	1	915
329	506654	Muriwai Beach	2	921
330	506655	Muriwai Valley	2	923
331	506656	Waitakere West	2	919
152	506657	Point Wells	1	909
153	506658	Omaha	2	917
154	506659	Matakana	2	926
155	506660	Cape Rodney	5	985
156	506661	Cape Rodney South	3	937
301	506800	Helensville	6	987
206	506901	Awaruku	3	936
207	506902	Glamorgan	3	950
208	506903	Torbay	3	936
209	507000	Waiake	2	932
210	507101	Browns Bay	4	954
211	507102	Oaktree	4	957
212	507200	Rothesay Bay	2	925
213	507300	Murrays Bay	2	924
214	507400	Mairangi Bay	2	932
215	507500	Campbells Bay	1	900
216	507710	Castor Bay	2	915
217	507720	Crown Hill	2	928
218	507800	Lake Pupuke	2	931
219	507900	Westlake	5	973
220	508010	Takapuna Central	4	957
221	508020	Hauraki	3	936
222	508110	Seacliffe	4	957
223	508120	Bayswater	3	952
224	508210	Kaipatiki	5	981
225	508220	Windy Ridge	3	951
226	508310	Glenfield Central	6	990
227	508320	Glenfield North	5	982
228	508411	Glendhu	4	968
229	508412	Witheford	4	958
230	508420	Target Road	6	987
231	508510	Forrest Hill	4	967
232	508520	Sunnynook	5	983
233	508610	Monarch Park	3	937
234	508620	Sunnybrae	6	999
303	508701	Albany	4	967
310	508703	Fairview	3	951
311	508704	Northcross	4	956
307	508803	Unsworth Heights	4	954
312	508804	Pinehill	4	960
313	508805	Windsor Park	5	970
314	508806	North Harbour West	3	939
315	508807	North Harbour East	4	968
237	508900	Long Bay	1	914
238	509000	Paremoremo East	4	964
